Season_x,Subtitle,Location,Original tribes,Winner,Runner(s)-up,Runner(s)-up.1,Final vote,Timeslot (ET),Premiered Date,Premiere viewers (in millions),Ended Date,Finale viewers (in millions),Reunion viewers (in millions),TV season,Rank_x,Viewers (in millions),Year,Unnamed: 0,Rank_y,Ep 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Average,Season_y,Rank.1,Average.1
3,Africa,"Shaba National Reserve, Kenya[10]",Two tribes of eight new players,Ethan Zohn,Kim Johnson,Kim Johnson,5–2,Thursday 8:00 pm,"October 11, 2001",23.84,"January 10, 2002",27.26,19.05,2001–02,8,20.69,2001,Millenials vs. Gen X,9,7.6,7.6,7.5,8.2,7.4,7.7,8.3,7.8,7.7,8.9,8.2,7.8,8.4,,,7.930769230769231,Africa,33,7.492307692307692
4,Marquesas,"Nuku Hiva, Marquesas Islands, French Polynesia",Two tribes of eight new players,Vecepia Towery,Neleh Dennis,Neleh Dennis,4–3,Thursday 8:00 pm,"February 28, 2002",23.19,"May 19, 2002",25.87,17.89,2001–02,6,20.77,2002,Cagayan,5,8.4,7.7,7.9,8.0,7.8,9.0,7.9,8.1,7.9,8.3,7.9,8.5,8.6,,,8.153846153846153,Marquesas,28,7.592307692307693
5,Thailand,"Ko Tarutao, Satun Province, Thailand",Two tribes of eight new players; picked by the two oldest players,Brian Heidik,Clay Jordan,Clay Jordan,4–3,Thursday 8:00 pm,"September 19, 2002",23.05,"December 19, 2002",24.08,20.43,2002–03,4,21.21,2002,Cambodia,1,8.5,8.5,8.2,8.0,8.3,8.7,8.2,9.2,8.3,9.3,8.4,8.0,9.0,,,8.507692307692308,Thailand,31,7.515384615384615
7,Pearl Islands,"Pearl Islands, Panama",Two tribes of eight new players,Sandra Diaz-Twine,Lillian Morris,Lillian Morris,6–1,Thursday 8:00 pm,"September 18, 2003",21.50,"December 14, 2003",25.23,21.87,2003–04,7,20.72,2003,Marquesas,28,7.4,7.4,7.7,7.5,7.6,7.6,8.0,8.1,7.4,7.3,7.4,7.7,7.6,,,7.592307692307693,Pearl Islands,4,8.285714285714286
8,All-Stars,"Pearl Islands, Panama",Three tribes of six returning players,Amber Brkich,Rob Mariano,Rob Mariano,4–3,Thursday 8:00 pm,"February 1, 2004",33.53,"May 9, 2004",24.76,23.92,2003–04,3,21.49,2004,Micronesia,13,7.8,7.6,7.6,7.5,7.7,7.5,7.5,7.5,7.9,8.6,7.8,8.4,8.6,7.9,,7.8500000000000005,All-Stars,16,7.793333333333334
9,Vanuatu,"Efate, Shefa, Vanuatu",Two tribes of nine new players divided by gender,Chris Daugherty,Twila Tanner,Twila Tanner,5–2,Thursday 8:00 pm,"September 16, 2004",20.06,"December 12, 2004",19.72,15.23,2004–05,10,19.64,2004,Nicaragua,42,7.1,7.5,6.7,6.8,6.8,7.0,6.8,7.1,7.1,7.1,6.9,6.9,7.2,7.6,,7.042857142857144,Vanuatu,21,7.7
10,Palau,"Koror, Palau",A schoolyard pick of two tribes of nine new players each; two eliminated without a tribe,Tom Westman,Katie Gallagher,Katie Gallagher,6–1,Thursday 8:00 pm,"February 17, 2005",23.66,"May 15, 2005",20.80,15.48,2004–05,5,20.91,2005,Pearl Islands,4,8.8,8.1,8.0,8.3,8.0,8.4,8.7,8.3,7.8,8.4,8.5,7.9,8.3,8.5,,8.285714285714286,Palau,7,8.064285714285715
11,Guatemala,"Laguna Yaxhá, Yaxhá-Nakúm-Naranjo National Park, Petén, Guatemala","Two tribes of nine, including two returning players",Danni Boatwright,Stephenie LaGrossa,Stephenie LaGrossa,6–1,Thursday 8:00 pm,"September 15, 2005",18.41,"December 11, 2005",21.18,15.21,2005–06,8[61],18.30,2005,Tocantins,30,7.5,7.4,7.3,7.2,7.4,7.3,7.5,7.9,8.0,7.4,7.3,8.1,7.8,,,7.546153846153846,Guatemala,18,7.757142857142857
12,Panama,"Pearl Islands, Panama",Four tribes of four new players divided by age and gender,Aras Baskauskas,Danielle DiLorenzo,Danielle DiLorenzo,5–2,Thursday 8:00 pm,"February 2, 2006",19.20,"May 14, 2006",17.07,11.65,2005–06,11[61],16.82,2006,One World,41,7.1,6.7,7.2,6.4,7.1,7.5,7.1,7.3,7.1,7.0,7.0,7.1,7.1,7.1,,7.057142857142856,Panama,24,7.628571428571427
13,Cook Islands,"Aitutaki, Cook Islands","Four tribes of five new players divided by ethnicity: African Americans, Whites, Hispanics, and Asians",Yul Kwon,Ozzy Lusth,Becky Lee,5–4–0,Thursday 8:00 pm,"September 14, 2006",18.00,"December 17, 2006",16.42,13.53,2006–07,13,15.75,2006,Guatemala,18,8.0,7.7,7.5,7.7,7.8,7.6,7.4,7.8,7.9,7.9,7.7,8.0,7.6,8.0,,7.757142857142857,Cook Islands,11,7.871428571428572
